,id,Title,Episode,Season,character_names,Total Spoken Words,number of scene changes,Sarcasm Index,Emotional Archetype,vote_average,holiday_episode,director_popularity,writer_popularity,Joey_Rachel_Monica_Chandler_itemset,Rachel_Ross_Monica_Chandler_itemset,Joey_Phoebe_Monica_Chandler_itemset,Joey_Ross_Monica_Chandler_itemset,Rachel_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Chandler_itemset,Joey_Rachel_Ross_Chandler_itemset,Joey_Ross_Phoebe_Chandler_itemset,Ross_Phoebe_Monica_Chandler_itemset,Joey_Rachel_Phoebe_Monica_itemset,sentiment,Ross_spoken_words,Rachel_spoken_words,Chandler_spoken_words,Monica_spoken_words,Phoebe_spoken_words,Joey_spoken_words,Central Perk_occurrences,Monica's Apartment_occurrences,Ross's Apartment_occurrences,Chandler's Apartment_occurrences,Ralph Lauren_occurrences,Bloomingdales_occurrences,Phoebe's Apartment_occurrences
50,86277, The One With All The Jam,3,3,"['Malcom', 'Janice']",2759,11,0.5714285714285714,Rags to Riches,7.975,0,1.5755,1.021,1,0,0,0,1,0,1,0,0,0,0.0453334776334776,362,240,312,446,593,412,2,0,0,0,0,0,0
51,86278, The One With The    Metophorical Tunnel,4,3,"['Susan', 'Carol', 'Mike', 'Janice']",3219,12,0.4285714285714285,Uncharted,8.026,0,1.4,1.388,0,0,0,0,0,0,0,0,0,0,-0.0002966447989595,243,213,633,283,583,604,3,0,0,0,0,0,0
52,86280, The One With Frank Jr.,5,3,"['Frank', 'Isabella', 'Jasmine']",2761,15,0.625,Rags to Riches,8.077,0,1.516,2.394,0,0,1,0,0,0,0,0,0,0,0.0555951664435883,305,236,433,261,564,390,3,0,0,0,0,0,3
53,86281, The One With The    Flashback,6,3,"['2', '1', 'Janice', 'Eric', 'Heckles']",2559,16,0.5714285714285714,Uncharted,8.75,0,2.7455,4.7685,0,0,0,0,0,0,0,0,1,0,0.0950292358821998,417,270,415,450,445,205,1,2,0,2,0,0,0
54,86292, The One With The Racecar    Bed,7,3,"['Green', 'Gunther', 'Janice']",2900,17,0.4285714285714285,Uncharted,8.237,1,2.1565,1.261,0,0,0,0,0,0,0,0,0,0,0.0945659192505955,507,451,137,155,369,588,3,0,0,0,0,0,0
55,86298, The One With The Giant    Poking Device,8,3,"['Ben', 'Gunther', 'Janice']",2812,13,0.4285714285714285,Uncharted,8.289,0,2.1565,2.15,1,0,0,0,0,0,0,0,0,0,0.0924625631920808,405,345,538,386,303,499,2,0,0,0,0,0,0
56,86288, The One With The Football,9,3,['Margha'],3341,6,0.7142857142857143,Uncharted,8.474,0,1.5755,2.744,1,1,0,1,0,0,0,0,0,0,0.0877792274296045,625,264,517,816,223,381,0,0,0,0,0,0,0
57,86334, The One Where Rachel    Quits,10,3,"['Sarah', 'Gunther']",3109,15,0.5714285714285714,Man in a Hole,8.15,0,2.4105,1.601,0,0,0,0,0,0,0,0,0,0,0.0279222753497729,742,548,323,159,302,348,5,0,0,0,0,0,0
58,86340, The One Where Chandler    Can't Remember Which Sister,11,3,"['Kaplan', 'Mark', 'Gunther', 'Guy']",3087,14,0.7142857142857143,Uncharted,8.308,0,2.4105,1.388,0,1,0,0,0,0,1,0,0,0,0.0021271500345719,522,522,584,399,164,509,1,0,0,0,0,0,0
59,86349, The One With All The    Jealousy,12,3,"['Mark', 'Quartet', 'Julio', 'Gunther', 'Jeannine']",2773,16,0.2857142857142857,Uncharted,8.139,0,11.6245,0.621,0,0,0,0,0,0,0,0,0,0,0.0051223747160397,499,392,485,316,148,249,2,0,0,0,0,0,0
